Date,ABT,ADM,ADP,AFL,ALB,AOS,APD,ATO,BDX,BEN,BF-B,BRO,CAH,CAT,CB,CHD,CHRW,CINF,CL,CLX,CTAS,CVX,DOV,ECL,ED,EMR,ESS,EXPD,FAST,FRT,GD,GPC,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MCD,MKC,NDSN,NEE,NUE,O,PEP,PG,PNR,PPG,ROP,SHW,SJM,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2010-06-30,3.15928e-11,1.3987315e-17,1.2923113e-12,5.341073e-21,4.995504e-16,1.0232721e-08,2.1837266e-13,0.00027544113,1.9279607e-15,7.7838835e-21,8.530614e-10,9.799176e-15,7.528332e-09,4.565285e-16,8.3670073e-17,7.709203e-15,3.740958e-17,8.2776884e-13,7.584498e-16,1.83414e-12,9.088052e-10,8.067131e-12,1.848007e-16,1.2601732e-13,5.8870192e-08,1.8396974e-19,2.3728242e-09,5.2499118e-20,4.841291e-16,1.5621061e-18,4.135976e-10,2.1317703e-09,7.887407e-10,4.4685605e-10,4.8069304e-10,5.366411e-12,7.0476305e-11,3.135851e-17,2.8568453e-19,2.2665048e-14,0.9992404,0.00047742427,1.0981885e-14,1.4723464e-11,1.0623922e-15,3.0396982e-06,7.836763e-11,1.3089649e-15,2.9199908e-18,2.4904308e-15,2.1504133e-12,7.232546e-15,1.0856743e-13,8.456439e-09,1.5669346e-14,9.2253225e-14,6.024226e-11,1.1775149e-10,6.0631735e-16,1.4531628e-11,3.591487e-06
2010-07-31,2.0783576e-10,1.9758858e-16,5.908692e-12,8.4024606e-20,3.0165475e-15,2.64244e-08,6.4657275e-13,0.00051992584,1.3834392e-14,1.4899562e-19,2.137599e-09,4.3024703e-14,6.763246e-08,5.370484e-15,1.3282135e-15,3.4291685e-14,2.3642304e-16,4.3146207e-12,6.8125623e-15,9.1393846e-12,8.756945e-09,3.662779e-11,2.5845146e-15,1.0078181e-12,1.191203e-07,2.8994765e-18,6.890601e-09,7.9624887e-19,3.7721414e-15,1.5187534e-17,1.8840478e-09,5.519745e-09,3.1904852e-09,2.8347702e-10,1.0486165e-09,2.8067649e-11,2.9454578e-10,3.0277402e-16,3.974955e-18,3.4363465e-13,0.99841666,0.0010572535,2.5907097e-14,3.429704e-11,8.2549705e-15,1.1600405e-06,6.415091e-10,3.081658e-15,4.7639198e-17,3.3000268e-14,2.4083482e-11,3.0963296e-14,7.4928974e-13,2.3704892e-08,1.3230947e-13,5.257492e-13,9.5318e-11,4.251559e-10,3.4979752e-15,5.916126e-11,4.49827e-06
2010-08-31,1.7829769e-09,6.549338e-15,2.0285819e-10,4.7779743e-18,2.6966572e-13,7.322053e-07,2.0434583e-11,0.0007955813,6.966131e-13,8.305033e-18,1.4813354e-08,1.1914061e-12,6.907813e-08,2.8833388e-14,1.1174679e-14,2.0986982e-12,1.3857889e-14,5.7459166e-11,2.0154008e-13,2.3888863e-10,6.0584595e-09,4.3122292e-10,1.2880536e-14,2.3102388e-11,1.4688227e-06,1.8236517e-16,6.082779e-08,4.1873286e-17,8.430462e-14,5.845801e-16,1.5394171e-08,8.089526e-08,4.741331e-08,2.9033968e-08,4.7393332e-08,1.6463027e-10,2.657023e-09,2.2190718e-14,1.9322019e-16,4.043256e-12,0.99852854,0.00060598046,5.260973e-12,1.9534794e-09,1.479547e-13,3.416739e-05,2.3220232e-09,6.329139e-13,1.5734247e-15,5.185011e-13,3.6483865e-11,2.825217e-12,6.1417212e-12,7.0466416e-07,1.7968691e-12,1.1647494e-11,7.3080924e-09,1.8435051e-09,3.723954e-13,2.6063327e-09,3.2257358e-05
2010-09-30,1.3829632e-10,2.4487682e-12,7.443212e-08,6.180977e-17,6.088738e-13,1.6484428e-05,4.080941e-15,2.6248978e-07,1.3567044e-12,9.076873e-19,6.5824795e-09,4.122902e-14,3.3538182e-08,2.057145e-14,5.2174487e-13,1.3544296e-15,9.578226e-15,1.8179991e-10,4.2871415e-17,4.316452e-12,1.5368977e-10,1.3138131e-07,2.2634682e-14,6.076907e-12,7.509488e-09,7.840037e-15,1.9434951e-10,1.5056403e-17,9.264815e-16,6.4251214e-15,7.2256894e-09,3.0925973e-10,1.8788838e-07,8.123395e-09,3.7809322e-08,1.2571962e-10,1.076122e-11,5.6220954e-16,1.4649673e-16,1.6473203e-09,4.2080025e-08,9.3351174e-11,8.099369e-09,7.01101e-09,1.2235692e-15,3.9403587e-09,7.969361e-12,8.071949e-16,3.8102764e-14,6.251212e-10,3.4052617e-12,3.4112962e-11,3.2472088e-13,8.782357e-10,2.5093465e-15,2.8953947e-11,4.0550904e-10,3.8744886e-07,1.4679344e-13,1.6591767e-09,0.9999823
2010-10-31,3.4654255e-11,2.8775368e-13,2.1676303e-09,3.2073378e-18,1.593597e-14,2.1114302e-07,1.6895172e-17,9.1781935e-08,9.564263e-14,2.701341e-20,9.948999e-10,3.555056e-15,2.5715936e-08,8.620833e-15,1.4205445e-13,1.0887806e-17,6.098479e-16,4.2643434e-11,1.9152035e-18,2.310367e-13,1.178978e-10,9.769464e-08,4.691932e-15,2.7525657e-13,2.465191e-10,4.245893e-16,2.3860922e-11,2.2352155e-19,1.2204753e-16,3.6614037e-16,3.1452327e-09,2.251553e-11,3.3679527e-08,2.9163963e-10,3.3530656e-10,5.351951e-11,3.6465865e-12,2.1473177e-17,3.693426e-18,8.315967e-10,3.0471867e-08,1.1164081e-11,7.155298e-11,3.6295345e-10,2.8373547e-16,1.4435336e-10,3.297296e-12,2.8047034e-17,8.7652097e-16,1.0876326e-10,1.5943009e-12,7.571387e-13,2.9310342e-14,6.541132e-11,4.4979868e-17,1.6154248e-12,1.2555266e-12,9.211304e-08,4.5437613e-15,5.838769e-11,0.99999934
2010-11-30,2.2583794e-11,1.06055755e-13,6.511401e-10,8.2589316e-19,4.156442e-15,4.010223e-08,2.8607086e-18,7.02148e-08,3.7335308e-14,6.920254e-21,4.1606885e-10,1.3220329e-15,2.3521974e-08,6.138747e-15,7.862371e-14,2.2516917e-18,1.9911119e-16,2.2542093e-11,4.1579242e-19,6.8763856e-14,1.3434139e-10,7.641556e-08,3.075977e-15,8.508403e-14,1.06294064e-10,1.428057e-16,1.0605889e-11,4.1752788e-20,3.612333e-17,1.01303036e-16,2.5816091e-09,1.23836115e-11,2.0592838e-08,1.15383765e-10,8.5134816e-11,3.8760415e-11,2.1654829e-12,6.701596e-18,6.6978613e-19,5.2543486e-10,3.8451578e-08,7.030632e-12,1.4260737e-11,1.0672617e-10,1.10572495e-16,5.4446593e-11,2.7483766e-12,7.979956e-18,2.401098e-16,5.9427664e-11,1.1227072e-12,2.1333408e-13,1.1961999e-14,3.35485e-11,1.03882304e-17,5.251024e-13,1.6948759e-13,3.938829e-08,1.0643926e-15,2.4013881e-11,0.9999997
2010-12-31,4.845188e-14,1.9800222e-17,1.5437322e-13,6.766903e-24,3.474502e-18,1.8242208e-10,1.4898244e-23,5.21997e-09,8.2110077e-16,8.5299154e-26,1.6839953e-12,7.963494e-21,1.2406162e-08,6.36509e-18,1.8985558e-16,2.3167243e-19,2.2461993e-20,1.2856446e-12,2.436853e-25,3.7157685e-19,3.4271221e-09,1.3332769e-07,1.3660961e-17,1.1668313e-17,3.055418e-15,2.9757645e-20,9.9610593e-14,4.4475184e-25,3.1383563e-23,6.7572336e-23,9.915649e-09,1.7796154e-14,7.2418794e-12,1.300558e-13,3.420296e-14,8.7255807e-16,1.2364947e-14,1.9686393e-20,2.0927984e-23,7.875046e-12,5.8178984e-10,8.227155e-16,6.372558e-15,3.9489744e-13,4.1736367e-21,1.1832611e-14,4.7661164e-13,4.6794053e-22,7.4565894e-22,1.5527041e-12,1.8153718e-15,1.2181882e-15,3.6511678e-16,6.4334605e-12,1.3835845e-20,3.8288275e-17,5.0104666e-17,1.01052486e-10,3.0205625e-20,9.060447e-11,0.9999998
2011-01-31,1.11108336e-14,2.068903e-18,1.3086643e-14,3.9219277e-25,1.7649537e-19,1.1719785e-11,4.953433e-25,2.2639155e-09,1.1053286e-16,2.9644126e-27,2.3344385e-13,3.7822768e-22,1.07125e-08,1.2879134e-18,3.1025483e-17,9.031535e-21,1.2442028e-21,1.908081e-13,8.11942e-27,2.1558022e-20,2.834521e-09,5.9567352e-08,3.0064948e-18,4.462521e-19,3.6435572e-16,2.3726299e-21,1.4172996e-14,1.698078e-26,1.2947912e-24,3.0803433e-24,7.0202186e-09,3.4536417e-15,1.3566584e-12,1.1323148e-14,3.1336556e-15,2.3370724e-16,1.868046e-15,1.1319567e-21,4.820632e-25,2.793554e-12,3.0812877e-10,1.3990265e-16,3.4810063e-16,3.0673956e-14,2.2829362e-22,1.3171e-15,2.2670911e-13,1.6334457e-23,4.8335634e-23,4.0679298e-13,3.1294373e-16,9.1629027e-17,5.1356693e-17,1.139233e-12,4.684513e-22,4.305127e-18,1.4790747e-18,1.3480155e-11,1.2170557e-21,1.4933669e-11,0.9999998
2011-02-28,5.142852e-14,1.1198343e-17,4.0549358e-14,3.7833114e-24,1.3617404e-18,4.3082468e-11,2.1911335e-24,4.484968e-09,6.740908e-16,3.4638214e-26,6.2327373e-13,2.5866697e-21,3.335586e-08,7.446853e-18,1.5217079e-16,6.604389e-20,8.095938e-21,9.0106476e-13,8.098357e-26,1.0943138e-19,8.797033e-09,1.14396514e-07,1.9720092e-17,2.790914e-18,1.1247202e-15,1.8746373e-20,5.3230623e-14,1.6823531e-25,1.2967491e-23,2.5813345e-23,1.8249393e-08,1.0142649e-14,4.0462638e-12,4.0594318e-14,9.2837666e-15,8.6869544e-16,7.946856e-15,9.8790205e-21,4.6141165e-24,1.0932001e-11,6.2178696e-10,4.6915906e-16,1.3652481e-15,9.487068e-14,2.1951526e-21,3.2366203e-15,8.0580274e-13,1.0820789e-22,3.5387275e-22,1.6559498e-12,1.3588054e-15,4.4291173e-16,2.9966623e-16,4.049329e-12,3.9842136e-21,1.8904533e-17,7.1194575e-18,4.1524645e-11,9.395359e-21,7.954274e-11,0.9999997
2011-03-31,6.8661366e-12,2.691039e-16,1.614544e-14,3.6255923e-19,1.4369614e-14,7.753686e-12,4.1016028e-18,2.4730024e-10,3.962577e-15,2.7037618e-20,2.3264864e-11,6.2480485e-17,3.3129523e-05,2.4583054e-14,6.1609246e-14,4.6444002e-15,4.527021e-18,4.4379948e-11,4.2955068e-19,2.1325511e-15,0.9999376,1.2581759e-14,1.2624541e-15,6.8383134e-15,3.2553485e-13,3.1701277e-17,1.1656679e-11,1.4848783e-19,1.0887663e-19,4.1409216e-18,3.3957366e-07,1.04829855e-13,9.463114e-10,2.5693344e-13,2.8705676e-13,2.0910297e-14,5.7825945e-12,3.5321258e-16,5.807424e-18,1.0396846e-09,9.3672776e-07,1.6477172e-10,4.1846405e-17,3.493998e-17,2.1536905e-17,8.751247e-14,7.124835e-09,7.4645037e-19,1.8062628e-18,1.3985607e-12,6.5534844e-13,1.9137654e-12,7.4647645e-14,5.705453e-09,4.904304e-15,2.0140346e-16,4.550788e-13,4.58165e-11,1.444541e-17,2.7915312e-05,2.3493254e-08
