Date,ABT,ADM,ADP,AFL,ALB,AOS,APD,ATO,BDX,BEN,BF-B,BRO,CAH,CAT,CB,CHD,CHRW,CINF,CL,CLX,CTAS,CVX,DOV,ECL,ED,EMR,ESS,EXPD,FAST,FRT,GD,GPC,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MCD,MKC,NDSN,NEE,NUE,O,PEP,PG,PNR,PPG,ROP,SHW,SJM,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2010-06-30,5.440445e-07,0.0004388128,6.097279e-06,1.4013592e-06,3.7196423e-06,6.0480494e-07,3.5292314e-06,3.91523e-06,2.5676107e-07,3.057441e-07,2.519754e-06,2.3138377e-06,2.6417022e-06,1.2095119e-05,7.679021e-05,5.457971e-06,1.1677187e-05,1.0452105e-06,7.2772427e-06,0.0049321763,0.04048185,2.8443162e-06,1.755745e-06,2.8550185e-06,2.3157108e-05,4.5764777e-06,4.267895e-06,2.7781682e-06,1.2484052e-06,0.012252716,4.6423534e-06,6.3609366e-07,4.400494e-07,7.719176e-05,0.22053798,4.274685e-06,1.6550641e-06,1.7296681e-05,3.261768e-06,1.5753616e-05,0.017819852,9.30662e-07,4.2628917e-06,0.0061318907,5.1501826e-07,0.53722596,2.288072e-06,8.907871e-07,1.347471e-06,4.0137516e-07,2.6708784e-07,1.3241914e-06,0.0006689058,1.1827134e-05,0.000116055075,0.02189024,0.027587142,2.501335e-06,5.968815e-07,0.05726389,0.05231456
2010-07-31,9.149858e-07,0.0006380151,9.291204e-06,2.4340911e-06,5.215697e-06,1.117096e-06,4.9546184e-06,5.6735685e-06,4.6778288e-07,4.7798267e-07,3.999178e-06,3.5303724e-06,4.4444946e-06,1.7730721e-05,0.00011020385,9.057314e-06,1.6961407e-05,1.8420046e-06,9.953017e-06,0.0065211514,0.049250532,4.616931e-06,2.7847973e-06,4.2540746e-06,3.256542e-05,6.8586705e-06,7.0584124e-06,3.948223e-06,2.0767989e-06,0.016322365,7.6175584e-06,1.0680039e-06,6.869219e-07,0.00010849095,0.23217714,5.8301503e-06,2.4745834e-06,2.9678706e-05,5.4787324e-06,2.136927e-05,0.026032604,1.4893411e-06,7.1815894e-06,0.008414085,8.0838583e-07,0.44070175,3.4953039e-06,1.4688837e-06,2.2934987e-06,6.741749e-07,4.6345968e-07,2.0331659e-06,0.00075161783,1.7140652e-05,0.00013964779,0.028180806,0.033763908,4.0737164e-06,9.623918e-07,0.079448014,0.07716108
2010-08-31,1.4669736e-06,0.0008996113,1.0967427e-05,2.3649384e-06,7.5875605e-06,1.3266532e-06,6.6606385e-06,7.693109e-06,4.7200982e-07,7.1537823e-07,4.4184635e-06,5.1279276e-06,6.420941e-06,2.5207733e-05,0.00010219926,8.938387e-06,1.9904459e-05,2.023611e-06,1.3433806e-05,0.008039898,0.041117758,3.8506632e-06,3.2402777e-06,4.340497e-06,3.4675875e-05,9.267845e-06,8.789176e-06,5.4642287e-06,2.2833058e-06,0.014818782,8.156287e-06,1.6453503e-06,9.634714e-07,0.00016741194,0.20691907,9.469384e-06,3.5983983e-06,2.9255958e-05,5.849752e-06,3.192926e-05,0.014793107,1.3737442e-06,8.311502e-06,0.010354468,1.1244288e-06,0.5054225,4.705606e-06,1.8440268e-06,2.8609427e-06,9.826053e-07,4.4809596e-07,2.7654469e-06,0.0015791726,2.2867262e-05,0.00014938669,0.018305477,0.04415313,4.003285e-06,1.2964307e-06,0.08269034,0.05014768
2010-09-30,2.3847015e-06,0.0009427132,1.7413164e-05,2.8136244e-06,5.663015e-06,2.8200877e-06,5.922751e-06,3.7051223e-06,2.1855533e-06,7.12141e-07,1.0483324e-05,6.367967e-06,8.3249415e-06,3.00894e-05,6.7704255e-05,1.7840357e-05,2.527273e-05,5.4339025e-06,5.786279e-06,0.006682897,0.060857814,4.7424364e-06,5.5927007e-06,4.8578454e-06,2.7969692e-05,8.957845e-06,2.0552226e-05,2.8617455e-06,6.9175726e-06,0.008510907,1.6087213e-05,3.7372813e-06,9.946319e-07,0.00017630156,0.021415597,4.6289742e-06,2.7974722e-06,8.002603e-05,1.1186975e-05,1.7253169e-05,0.060785364,1.8429125e-06,1.5729427e-05,0.012320649,1.1338232e-06,0.07311952,9.778488e-06,1.938963e-06,4.6343234e-06,1.3488811e-06,7.758578e-07,3.674242e-06,0.0006978274,2.3953698e-05,0.000118179705,0.07469886,0.12522835,6.4405917e-06,1.545235e-06,0.51451993,0.03941229
2010-10-31,2.0002028e-06,0.0008663919,1.6037486e-05,2.8811164e-06,4.8678016e-06,2.6272044e-06,5.2432338e-06,3.269593e-06,2.135961e-06,6.134818e-07,9.839909e-06,5.5501823e-06,7.2084363e-06,2.6170605e-05,6.907436e-05,1.8523771e-05,2.2919114e-05,5.2171818e-06,4.9058353e-06,0.0063441624,0.06735625,4.9941377e-06,5.1609404e-06,4.871229e-06,2.723327e-05,7.890634e-06,1.8858682e-05,2.5011193e-06,6.784472e-06,0.008877456,1.6087486e-05,3.0058748e-06,8.369762e-07,0.00014817243,0.022526914,3.6891809e-06,2.4236201e-06,8.236851e-05,1.1295139e-05,1.464003e-05,0.07741818,1.8768567e-06,1.4644191e-05,0.011568177,9.758536e-07,0.06372648,8.606824e-06,1.7703957e-06,4.357751e-06,1.1643949e-06,7.7764514e-07,3.1628933e-06,0.00053150917,2.0774445e-05,0.00010975961,0.087745324,0.113989875,6.4987667e-06,1.3578705e-06,0.48910108,0.04920255
2010-11-30,1.6204502e-06,0.0007475265,1.4754629e-05,2.7148878e-06,4.214367e-06,2.2497725e-06,4.7322073e-06,2.9216492e-06,1.9558333e-06,5.292838e-07,8.942489e-06,4.7641042e-06,6.0510674e-06,2.2640781e-05,6.694757e-05,1.7321454e-05,2.088386e-05,4.6642513e-06,4.416947e-06,0.005805976,0.073463395,5.0200483e-06,4.6583614e-06,4.681587e-06,2.5640471e-05,6.818923e-06,1.6649938e-05,2.1550063e-06,6.3243483e-06,0.008797506,1.4970582e-05,2.432642e-06,7.3689324e-07,0.00012519208,0.023728553,3.1355034e-06,2.0422149e-06,7.5075244e-05,1.0334189e-05,1.2714434e-05,0.08984843,1.8003637e-06,1.3038871e-05,0.010410127,8.373882e-07,0.06789645,7.6167566e-06,1.551938e-06,3.8764115e-06,9.7138e-07,7.3599074e-07,2.7533497e-06,0.00042966296,1.8347537e-05,0.00010815765,0.09906754,0.107477434,6.222642e-06,1.1511795e-06,0.46012133,0.05152807
2010-12-31,1.8066195e-06,0.000388538,1.3467147e-05,3.5525813e-06,6.713731e-06,3.5782805e-06,4.7337835e-06,3.9383167e-06,2.5157988e-06,8.0375787e-07,8.690915e-06,5.6773015e-06,5.7536317e-06,2.0820924e-05,0.00010407226,3.403095e-05,2.0706882e-05,2.9366113e-06,3.6703545e-06,0.01699552,0.19912003,8.875032e-06,3.5123178e-06,9.102487e-06,4.9068447e-05,6.7006695e-06,3.0710497e-05,3.0790247e-06,5.8919127e-06,0.019183988,3.5572277e-05,1.6083632e-06,3.7590198e-07,0.0001494463,0.04172931,2.6685623e-06,2.470753e-06,5.024132e-05,1.5959906e-05,6.9017447e-06,0.08082304,3.6772321e-06,1.3870174e-05,0.012482512,8.2940403e-07,0.10516977,1.14747e-05,3.545021e-06,4.752225e-06,8.991126e-07,1.9969498e-06,2.8432553e-06,0.0005267365,1.2360177e-05,0.00021708908,0.22706415,0.07654446,1.0571433e-05,1.0863939e-06,0.07301531,0.14604197
2011-01-31,1.3369013e-06,0.00032222425,1.11417e-05,3.0326642e-06,5.271999e-06,2.8246411e-06,3.8130163e-06,3.05575e-06,2.073275e-06,6.0287084e-07,7.3291267e-06,4.4468534e-06,4.4674607e-06,1.6832033e-05,9.549384e-05,2.9349094e-05,1.725703e-05,2.4198944e-06,2.976067e-06,0.014881404,0.1911617,7.907501e-06,2.9009366e-06,7.792437e-06,4.1934007e-05,5.275695e-06,2.5239578e-05,2.444635e-06,4.8884563e-06,0.018334169,2.986691e-05,1.2171975e-06,2.8637467e-07,0.00011829806,0.040948603,2.0044647e-06,1.8892262e-06,4.418566e-05,1.3716907e-05,5.63666e-06,0.088275604,3.2245312e-06,1.1363173e-05,0.010847426,6.430312e-07,0.10224526,8.996676e-06,2.773592e-06,3.795761e-06,6.867813e-07,1.6253873e-06,2.305284e-06,0.0003917589,1.0065869e-05,0.00018847075,0.23953418,0.06614949,9.168452e-06,8.481078e-07,0.07088525,0.15524976
2011-02-28,1.4592754e-06,0.000345672,1.2108132e-05,3.3766353e-06,5.5286605e-06,3.0899432e-06,4.0165855e-06,3.4070508e-06,2.3431978e-06,6.4491854e-07,7.795619e-06,4.709305e-06,4.8463967e-06,1.7451463e-05,9.97492e-05,3.292609e-05,1.8773948e-05,2.664569e-06,3.1465806e-06,0.014557269,0.20177892,8.962449e-06,3.1492946e-06,8.624949e-06,4.6440095e-05,5.7491493e-06,2.6567424e-05,2.53377e-06,5.427117e-06,0.019932497,3.2803448e-05,1.2805021e-06,3.1876104e-07,0.00012367537,0.044382285,2.075685e-06,2.076079e-06,4.7942052e-05,1.50367005e-05,5.9086906e-06,0.08945363,3.475528e-06,1.2538736e-05,0.011094722,7.020549e-07,0.08832951,9.493291e-06,3.1161505e-06,4.2671113e-06,7.6998435e-07,1.8796115e-06,2.3358796e-06,0.00037373859,1.0231876e-05,0.0001900517,0.23572524,0.064507484,1.0263119e-05,9.4719445e-07,0.06591329,0.16278899
2011-03-31,1.7152992e-06,0.00072937174,1.7467906e-05,5.6286653e-06,7.452028e-06,3.2853136e-06,4.9698e-06,5.4131274e-06,2.7251745e-06,7.734636e-07,1.0256179e-05,4.723314e-06,5.6458257e-06,2.3418688e-05,9.723064e-05,3.1345946e-05,2.0698224e-05,5.030402e-06,3.5311946e-06,0.010870219,0.20759547,1.0356235e-05,5.470243e-06,9.9270255e-06,4.305323e-05,8.201876e-06,2.2204173e-05,2.5160707e-06,1.14974555e-05,0.010154444,3.4007047e-05,1.6983574e-06,6.3516205e-07,0.000116472926,0.05406813,2.5562172e-06,2.7186718e-06,9.357948e-05,1.7077069e-05,9.355587e-06,0.13851237,3.6738647e-06,1.3843287e-05,0.009140623,9.773656e-07,0.042637337,9.494366e-06,2.6656992e-06,6.3856232e-06,9.986558e-07,2.258314e-06,2.703508e-06,0.00047061386,1.3376272e-05,0.00019601535,0.17067823,0.07032841,8.9466985e-06,1.3750374e-06,0.16821793,0.11569159
