,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1 Mo,1.0,0.9954216825514319,0.9874095736053313,0.9742025823943834,0.9441311572425839,0.9115356848413824,0.8312145490713688,0.7360861047564158,0.5993371560377646,0.44390473564377164,0.3141145629754289
3 Mo,0.9954216825514319,1.0,0.9968319749812512,0.987662427808307,0.9618776673375262,0.9314294554283625,0.8503132455715481,0.7523614986374529,0.6107696134230097,0.452201169592403,0.31637599488615264
6 Mo,0.9874095736053313,0.9968319749812512,1.0,0.9963299119090486,0.9771973551853376,0.9497962948068932,0.8684286703016685,0.7674938629745166,0.6202519612670263,0.45636189448134623,0.315726747700787
1 Yr,0.9742025823943834,0.987662427808307,0.9963299119090486,1.0,0.9904360148846,0.9681792063634661,0.8901970154450038,0.7883138143028435,0.6366646189461946,0.46590226929613715,0.32168129396158723
2 Yr,0.9441311572425839,0.9618776673375262,0.9771973551853376,0.9904360148846,1.0,0.9921500125838769,0.9327873778142536,0.8390357340178386,0.6881474909147549,0.5102662369282999,0.3641294555393325
3 Yr,0.9115356848413824,0.9314294554283625,0.9497962948068932,0.9681792063634661,0.9921500125838769,1.0,0.9674461577206791,0.8903444856689235,0.7497751111164545,0.5737558893023913,0.4305145038125745
5 Yr,0.8312145490713688,0.8503132455715481,0.8684286703016685,0.8901970154450038,0.9327873778142536,0.9674461577206791,1.0,0.9749900727874462,0.8830835351848411,0.7379826975268585,0.6160164438684185
7 Yr,0.7360861047564158,0.7523614986374529,0.7674938629745166,0.7883138143028435,0.8390357340178386,0.8903444856689235,0.9749900727874462,1.0,0.9633618465344042,0.8623689951243485,0.7678438834178628
10 Yr,0.5993371560377646,0.6107696134230097,0.6202519612670263,0.6366646189461946,0.6881474909147549,0.7497751111164545,0.8830835351848411,0.9633618465344042,1.0,0.9631400950337892,0.9093200446649954
20 Yr,0.44390473564377164,0.452201169592403,0.45636189448134623,0.46590226929613715,0.5102662369282999,0.5737558893023913,0.7379826975268585,0.8623689951243485,0.9631400950337892,1.0,0.978550169754914
30 Yr,0.3141145629754289,0.31637599488615264,0.315726747700787,0.32168129396158723,0.3641294555393325,0.4305145038125745,0.6160164438684185,0.7678438834178628,0.9093200446649954,0.978550169754914,1.0
